ROEr_ELL_SB>CWRu_ELL_SB@ELL,LO East London,SB,10,1039,ROEr,Rotherhithe,788,CWRu,Canada Water,312,16,48,96,48,48,56,0,0,0,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
CWRu_ELL_SB>SQEr_ELL_SB@ELL,LO East London,SB,11,788,CWRu,Canada Water,1083,SQEr,Surrey Quays,312,16,48,96,48,48,56,0,0,0,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
SQEr_ELL_SB>NWXr_ELL_SB@ELL,LO East London,SB,12,1083,SQEr,Surrey Quays,5150,NWXr,New Cross,72,3,12,24,12,12,9,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQEr_ELL_SB>NXGr_ELL_SB@ELL,LO East London,SB,13,1083,SQEr,Surrey Quays,5345,NXGr,New Cross Gate,166,9,24,48,24,24,37,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NXGr_ELL_SB>BCYr_ELL_SB@ELL,LO East London,SB,14,5345,NXGr,New Cross Gate,5404,BCYr,Brockley,148,10,24,48,24,24,18,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BCYr_ELL_SB>HPAr_ELL_SB@ELL,LO East London,SB,15,5404,BCYr,Brockley,5418,HPAr,Honor Oak Park,148,10,24,48,24,24,18,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HPAr_ELL_SB>FOHr_ELL_SB@ELL,LO East London,SB,16,5418,HPAr,Honor Oak Park,5362,FOHr,Forest Hill,148,10,24,48,24,24,18,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FOHr_ELL_SB>SYDr_ELL_SB@ELL,LO East London,SB,17,5362,FOHr,Forest Hill,5437,SYDr,Sydenham,148,9,24,48,24,24,19,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SYDr_ELL_SB>PNWr_ELL_SB@ELL,LO East London,SB,18,5437,SYDr,Sydenham,5378,PNWr,Penge West,74,5,12,24,12,12,9,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PNWr_ELL_SB>ANYr_ELL_SB@ELL,LO East London,SB,19,5378,PNWr,Penge West,5397,ANYr,Anerley,74,5,12,24,12,12,9,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ANYr_ELL_SB>NWDr_ELL_SB@ELL,LO East London,SB,20,5397,ANYr,Anerley,5376,NWDr,Norwood Junction,74,4,12,24,12,12,10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NWDr_ELL_SB>WCYr_ELL_SB@ELL,LO East London,SB,21,5376,NWDr,Norwood Junction,5411,WCYr,West Croydon NR,74,4,12,24,12,12,10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SYDr_ELL_SB>CYPr_ELL_SB@ELL,LO East London,SB,22,5437,SYDr,Sydenham,5356,CYPr,Crystal Palace,74,4,12,24,12,12,10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQEr_ELL_SB>QRPr_ELL_SB@ELL,LO East London,SB,23,1083,SQEr,Surrey Quays,5424,QRPr,Queens Road Peckham,74,3,12,24,12,12,11,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
QRPr_ELL_SB>PMRr_ELL_SB@ELL,LO East London,SB,24,5424,QRPr,Queens Road Peckham,5423,PMRr,Peckham Rye,74,3,12,24,12,12,11,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PMRr_ELL_SB>DMKr_ELL_SB@ELL,LO East London,SB,25,5423,PMRr,Peckham Rye,5421,DMKr,Denmark Hill,74,2,12,24,12,12,12,0,0,0,0,0,1,0,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DMKr_ELL_SB>CLPr_ELL_SB@ELL,LO East London,SB,26,5421,DMKr,Denmark Hill,5301,CLPr,Clapham High Street,74,2,12,24,12,12,12,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CLPr_ELL_SB>WWRr_ELL_SB@ELL,LO East London,SB,27,5301,CLPr,Clapham High Street,5372,WWRr,Wandsworth Road,74,2,12,24,12,12,12,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WWRr_ELL_SB>CLJr_ELL_SB@ELL,LO East London,SB,28,5372,WWRr,Wandsworth Road,5595,CLJr,Clapham Junction,73,2,12,24,12,12,11,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GPOr_GOB_EB>UHLr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,1,1409,GPOr,Gospel Oak,1524,UHLr,Upper Holloway,69,4,12,24,12,12,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UHLr_GOB_EB>CRHr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,2,1524,UHLr,Upper Holloway,7406,CRHr,Crouch Hill,69,4,12,24,12,12,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRHr_GOB_EB>HRYr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,3,7406,CRHr,Crouch Hill,7401,HRYr,Harringay Green Lanes,69,3,12,24,12,13,5,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HRYr_GOB_EB>STOr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,4,7401,HRYr,Harringay Green Lanes,7404,STOr,South Tottenham,69,3,12,24,12,12,6,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
STOr_GOB_EB>BHRu_GOB_EB@GOB,LO Gospel Oak-Barking,EB,5,7404,STOr,South Tottenham,522,BHRu,Blackhorse Road,69,3,12,24,12,12,6,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BHRu_GOB_EB>WMWr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,6,522,BHRu,Blackhorse Road,7407,WMWr,Walthamstow Queen's Road,69,3,12,24,12,12,6,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WMWr_GOB_EB>LEMr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,7,7407,WMWr,Walthamstow Queen's Road,7402,LEMr,Leyton Midland Road,69,3,12,24,12,12,6,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LEMr_GOB_EB>LERr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,8,7402,LEMr,Leyton Midland Road,7403,LERr,Leytonstone High Road,69,2,12,24,12,12,7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LERr_GOB_EB>WNPr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,9,7403,LERr,Leytonstone High Road,7408,WNPr,Wanstead Park,69,2,12,24,12,12,7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WNPr_GOB_EB>WGRr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,10,7408,WNPr,Wanstead Park,7467,WGRr,Woodgrange Park,69,2,12,24,12,12,7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WGRr_GOB_EB>BKGu_GOB_EB@GOB,LO Gospel Oak-Barking,EB,11,7467,WGRr,Woodgrange Park,514,BKGu,Barking,69,2,12,24,12,12,7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BKGu_GOB_EB>BGVr_GOB_EB@GOB,LO Gospel Oak-Barking,EB,12,514,BKGu,Barking,1335,BGVr,Barking Riverside,69,2,12,24,12,12,7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BGVr_GOB_WB>BKGu_GOB_WB@GOB,LO Gospel Oak-Barking,WB,1,1335,BGVr,Barking Riverside,514,BKGu,Barking,72,6,12,24,12,12,6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BKGu_GOB_WB>WGRr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,2,514,BKGu,Barking,7467,WGRr,Woodgrange Park,72,6,12,24,12,12,6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WGRr_GOB_WB>WNPr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,3,7467,WGRr,Woodgrange Park,7408,WNPr,Wanstead Park,72,6,12,24,12,12,6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WNPr_GOB_WB>LERr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,4,7408,WNPr,Wanstead Park,7403,LERr,Leytonstone High Road,72,5,12,24,12,13,6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LERr_GOB_WB>LEMr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,5,7403,LERr,Leytonstone High Road,7402,LEMr,Leyton Midland Road,72,5,12,24,12,12,7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LEMr_GOB_WB>WMWr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,6,7402,LEMr,Leyton Midland Road,7407,WMWr,Walthamstow Queen's Road,72,5,12,24,12,12,7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WMWr_GOB_WB>BHRu_GOB_WB@GOB,LO Gospel Oak-Barking,WB,7,7407,WMWr,Walthamstow Queen's Road,522,BHRu,Blackhorse Road,72,5,12,24,12,12,7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BHRu_GOB_WB>STOr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,8,522,BHRu,Blackhorse Road,7404,STOr,South Tottenham,72,5,12,24,12,12,7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
STOr_GOB_WB>HRYr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,9,7404,STOr,South Tottenham,7401,HRYr,Harringay Green Lanes,72,5,12,24,11,13,7,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HRYr_GOB_WB>CRHr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,10,7401,HRYr,Harringay Green Lanes,7406,CRHr,Crouch Hill,72,4,12,24,12,12,8,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CRHr_GOB_WB>UHLr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,11,7406,CRHr,Crouch Hill,1524,UHLr,Upper Holloway,72,4,12,24,12,12,8,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
UHLr_GOB_WB>GPOr_GOB_WB@GOB,LO Gospel Oak-Barking,WB,12,1524,UHLr,Upper Holloway,1409,GPOr,Gospel Oak,72,4,12,24,12,12,8,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CLJr_NLL_EB>IMWr_NLL_EB@NLL,LO North London,EB,1,5595,CLJr,Clapham Junction,9586,IMWr,Imperial Wharf,103,7,20,33,21,14,8,0,0,0,0,2,1,1,3,1,2,2,2,1,1,1,3,1,2,1,3,0,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,3,1,2,1,2,2,1,1,3,1,2,1,3,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IMWr_NLL_EB>WBTu_NLL_EB@NLL,LO North London,EB,2,9586,IMWr,Imperial Wharf,755,WBTu,West Brompton,103,6,20,34,20,15,8,0,0,0,0,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WBTu_NLL_EB>OLYu_NLL_EB@NLL,LO North London,EB,3,755,WBTu,West Brompton,618,OLYu,Kensington (Olympia),103,6,20,33,21,15,8,0,0,0,0,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,0,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,3,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OLYu_NLL_EB>SPBr_NLL_EB@NLL,LO North London,EB,4,618,OLYu,Kensington (Olympia),9587,SPBr,Shepherd's Bush NR,103,5,20,34,20,15,9,0,0,0,0,1,1,2,1,2,1,2,3,1,1,2,1,2,1,3,1,2,0,1,2,2,0,3,1,2,1,2,1,1,0,3,0,1,1,3,1,2,1,3,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,1,2,2,1,1,0,1,1,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SPBr_NLL_EB>WJNu_NLL_EB@NLL,LO North London,EB,5,9587,SPBr,Shepherd's Bush NR,766,WJNu,Willesden Junction,81,4,15,26,15,12,9,0,0,0,0,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RMDu_NLL_EB>KEWu_NLL_EB@NLL,LO North London,EB,6,686,RMDu,Richmond,621,KEWu,Kew Gardens,80,6,14,26,15,12,7,0,0,0,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
