Line,Station Name,Latitude,Longitude
Elizabeth Line,Seven Kings,51.5636064,0.098511
Elizabeth Line,Shenfield,51.63080890000001,0.3297648
Elizabeth Line,Slough,51.5118824,-0.5913883
Elizabeth Line,Southall,51.5058941,-0.3785616
Elizabeth Line,Stratford,51.5411893,-0.003344
Elizabeth Line,Taplow,51.5235529,-0.6814378999999999
Elizabeth Line,Tottenham Court Road,51.5162811,-0.1300406
Elizabeth Line,Twyford,51.4755668,-0.8631605
Elizabeth Line,West Drayton,51.5098801,-0.4725394999999999
Elizabeth Line,West Ealing,51.5136783,-0.3209758
Elizabeth Line,Whitechapel,51.4919342,-0.2248021
Elizabeth Line,Woolwich,51.4894752,0.06758829999999999
H&C and Circle,Aldgate,51.514471,-0.0755039
H&C and Circle,Aldgate East,51.4919342,-0.2248021
H&C and Circle,Baker Street,51.5231548,-0.156863
H&C and Circle,Bank and Monument,51.51100229999999,-0.0866591
H&C and Circle,Barbican,51.5202077,-0.09378639999999999
H&C and Circle,Barking,51.4919342,-0.2248021
H&C and Circle,Bayswater,51.4919342,-0.2248021
H&C and Circle,Blackfriars,51.4919342,-0.2248021
H&C and Circle,Bow Road,51.4919342,-0.2248021
H&C and Circle,Bromley-by-Bow,51.5278208,-0.0128373
H&C and Circle,Cannon Street,51.4919342,-0.2248021
H&C and Circle,East Ham,51.5333972,0.04991139999999999
H&C and Circle,Edgware Road,51.5202914,-0.1701944
H&C and Circle,Embankment,51.5072554,-0.1221937
H&C and Circle,Euston Square,51.5256051,-0.1359641
H&C and Circle,Farringdon,51.5194956,-0.099577
H&C and Circle,Gloucester Road,51.4919342,-0.2248021
H&C and Circle,Goldhawk Road,51.5018056,-0.2264944
H&C and Circle,Great Portland Street,51.5237421,-0.1439184
H&C and Circle,Hammersmith,51.4919342,-0.2248021
H&C and Circle,High Street Kensington,51.5008834,-0.1926463
H&C and Circle,King's Cross St. Pancras,51.53160339999999,-0.1235978
H&C and Circle,Ladbroke Grove,51.5178769,-0.2103321
H&C and Circle,Latimer Road,51.5134548,-0.2177014
H&C and Circle,Liverpool Street,51.5174331,-0.08296669999999999
H&C and Circle,Mansion House,51.4919342,-0.2248021
H&C and Circle,Mile End,51.5251447,-0.0334172
H&C and Circle,Moorgate,51.5186852,-0.0890021
H&C and Circle,Notting Hill Gate,51.5092063,-0.1962355
H&C and Circle,Paddington,51.5166744,-0.1769328
H&C and Circle,Plaistow,51.4919342,-0.2248021
H&C and Circle,Royal Oak,51.5072178,-0.1275862
H&C and Circle,Shepherd's Bush Market,51.5056503,-0.2262516
H&C and Circle,Sloane Square,51.4919342,-0.2248021
H&C and Circle,South Kensington,51.4953291,-0.1789909
H&C and Circle,St. James's Park,51.499479,-0.1337107
H&C and Circle,Stepney Green,51.4919342,-0.2248021
H&C and Circle,Temple,51.4919342,-0.2248021
H&C and Circle,Tower Hill,51.4919342,-0.2248021
H&C and Circle,Upton Park,51.53471750000001,0.0337596
H&C and Circle,Victoria,51.4919342,-0.2248021
H&C and Circle,West Ham,51.5280931,0.005108199999999999
H&C and Circle,Westbourne Park,51.52093499999999,-0.2007649
H&C and Circle,Westminster,51.4919342,-0.2248021
H&C and Circle,Whitechapel,51.4919342,-0.2248021
H&C and Circle,Wood Lane,51.5100085,-0.2242417
Jubilee,Baker Street,51.5231548,-0.156863
Jubilee,Bermondsey,51.4978636,-0.0637319
Jubilee,Bond Street,51.5143352,-0.1488549
Jubilee,Canada Water,51.49798999999999,-0.049693
Jubilee,Canary Wharf,51.50626,-0.018541
Jubilee,Canning Town,51.5138726,0.0081865
Jubilee,Canons Park,51.607601,-0.2946105
Jubilee,Dollis Hill,51.5525583,-0.2380731
Jubilee,Finchley Road,51.5469511,-0.1798916
Jubilee,Green Park,51.5069327,-0.1428838
Jubilee,Kilburn,51.546955,-0.2044711
Jubilee,Kingsbury,51.5848468,-0.2787047
Jubilee,London Bridge,51.5042625,-0.0848024
Jubilee,Neasden,51.5626819,-0.2536987
Jubilee,North Greenwich,51.50024519999999,0.0035842
Jubilee,Queensbury,43.353627,-73.6771662
Jubilee,Southwark,51.503926,-0.1049685
Jubilee,St. John's Wood,51.5343581,-0.1742065
Jubilee,Stanmore,51.6196885,-0.3031205
Jubilee,Stratford,51.5411893,-0.003344
