nodeID,nodeLabel,x,y
114,canonspark,7.970330437750756,26.871580886445525
115,queensbury,8.453543913108204,24.74868566446323
116,carpenderspark,0.45669198892676643,25.43882235732393
117,chorleywood,-7.775886263483418,22.883685365128056
118,chancerylane,29.28458456229904,9.183628767934263
119,stpauls,30.73383124112487,7.311341665888168
120,charingcross,25.839132613917034,0.5550918524992157
121,embankment,27.727532711219148,0.42882363297762144
122,chesham,-10.890797745666099,26.32754726216316
123,chigwell,47.932349265701504,25.053138237372995
124,rodingvalley,44.81215734379779,26.653553431972025
125,rickmansworth,-6.005849981163493,22.58244757408271
126,claphamcommon,24.33425500825911,-11.349849823817003
127,claphamsouth,22.10587055295866,-11.21324821309061
128,claphamhighstreet,25.19982354753665,-9.53342149175397
129,wandsworthroad,22.77655298000866,-8.308543189572871
